Day,Hour,in stock,out stock,product name,capacity,change in stock
27,21:30:00,54,117,21,171,No Change in Stock
27,22:00:00,54,117,21,171,No Change in Stock
27,22:30:00,54,117,21,171,No Change in Stock
27,23:00:00,54,117,21,171,No Change in Stock
27,23:30:00,53,118,21,171,No Change in Stock
28,00:00:00,53,118,21,171,No Change in Stock
28,00:30:00,53,118,21,171,No Change in Stock
28,01:00:00,53,118,21,171,No Change in Stock
28,01:30:00,53,118,21,171,No Change in Stock
28,02:00:00,53,118,21,171,No Change in Stock
28,02:30:00,53,118,21,171,No Change in Stock
28,03:00:00,53,118,21,171,No Change in Stock
28,03:30:00,53,118,21,171,No Change in Stock
28,04:00:00,53,118,21,171,No Change in Stock
28,04:30:00,52,119,21,171,No Change in Stock
28,05:00:00,52,119,21,171,No Change in Stock
28,05:30:00,52,119,21,171,No Change in Stock
28,06:00:00,52,119,21,171,No Change in Stock
28,06:30:00,52,119,21,171,No Change in Stock
28,07:00:00,71,100,21,171,Increase in Stock by 19: at 07:00:00
28,07:30:00,71,100,21,171,No Change in Stock
28,08:00:00,70,101,21,171,No Change in Stock
28,09:00:00,69,102,21,171,No Change in Stock
28,09:30:00,68,103,21,171,No Change in Stock
28,10:00:00,67,104,21,171,No Change in Stock
28,10:30:00,66,105,21,171,No Change in Stock
28,11:02:00,65,106,21,171,No Change in Stock
28,11:30:00,61,110,21,171,No Change in Stock
28,12:00:00,60,111,21,171,No Change in Stock
28,12:30:00,56,115,21,171,No Change in Stock
28,13:00:00,56,115,21,171,No Change in Stock
28,13:30:00,56,115,21,171,No Change in Stock
28,14:00:00,54,117,21,171,No Change in Stock
28,14:30:00,54,117,21,171,No Change in Stock
28,15:00:00,54,117,21,171,No Change in Stock
28,15:30:00,54,117,21,171,No Change in Stock
28,16:00:00,54,117,21,171,No Change in Stock
28,16:30:00,52,119,21,171,No Change in Stock
28,17:00:00,50,121,21,171,No Change in Stock
28,17:30:00,50,121,21,171,No Change in Stock
28,18:00:00,47,124,21,171,No Change in Stock
28,18:30:00,47,124,21,171,No Change in Stock
28,19:30:00,42,129,21,171,No Change in Stock
28,20:00:00,41,130,21,171,No Change in Stock
28,20:30:00,41,130,21,171,No Change in Stock
28,21:00:00,41,130,21,171,No Change in Stock
28,21:30:00,39,132,21,171,No Change in Stock
28,22:00:00,39,132,21,171,No Change in Stock
28,22:30:00,35,127,16,162,No Change in Stock
28,23:00:00,35,124,16,159,No Change in Stock
28,23:30:00,35,144,17,179,No Change in Stock
29,00:00:00,35,144,17,179,No Change in Stock
29,00:30:00,35,144,17,179,No Change in Stock
29,01:00:00,35,144,17,179,No Change in Stock
29,01:30:00,35,144,17,179,No Change in Stock
29,02:00:00,35,144,17,179,No Change in Stock
29,02:30:00,35,144,17,179,No Change in Stock
29,03:00:00,33,146,17,179,No Change in Stock
29,03:30:00,33,146,17,179,No Change in Stock
29,04:00:00,33,146,17,179,No Change in Stock
29,04:30:00,33,146,17,179,No Change in Stock
29,05:30:00,29,150,17,179,No Change in Stock
29,06:00:00,29,150,17,179,No Change in Stock
29,06:30:00,29,150,17,179,No Change in Stock
29,07:00:00,67,112,17,179,Increase in Stock by 38: at 07:00:00
29,07:30:00,57,122,17,179,No Change in Stock
29,08:00:00,57,122,17,179,No Change in Stock
29,08:30:00,55,124,17,179,No Change in Stock
29,09:00:00,55,124,17,179,No Change in Stock
29,10:00:00,52,127,17,179,No Change in Stock
29,10:30:00,51,128,17,179,No Change in Stock
29,11:30:00,48,131,17,179,No Change in Stock
29,12:00:00,47,132,17,179,No Change in Stock
29,12:30:00,44,135,17,179,No Change in Stock
29,14:00:00,43,136,17,179,No Change in Stock
29,14:30:00,43,136,17,179,No Change in Stock
29,15:00:00,43,136,17,179,No Change in Stock
29,15:30:00,42,137,17,179,No Change in Stock
29,16:00:00,42,137,17,179,No Change in Stock
29,16:30:00,42,137,17,179,No Change in Stock
29,17:00:00,42,137,17,179,No Change in Stock
29,17:30:00,42,137,17,179,No Change in Stock
29,18:00:00,41,138,17,179,No Change in Stock
29,18:30:00,39,140,17,179,No Change in Stock
29,19:00:00,39,140,17,179,No Change in Stock
29,19:30:00,38,141,17,179,No Change in Stock
29,20:30:00,33,146,17,179,No Change in Stock
29,21:00:00,33,146,17,179,No Change in Stock
29,21:30:00,33,146,17,179,No Change in Stock
29,22:00:00,33,146,17,179,No Change in Stock
29,22:30:00,33,146,17,179,No Change in Stock
29,23:00:00,33,146,17,179,No Change in Stock
29,23:30:00,33,146,17,179,No Change in Stock
30,00:00:00,33,146,17,179,No Change in Stock
